,short_name,age,nationality,club_name,overall,potential,value_eur,wage_eur,player_positions,release_clause_eur,team_position,contract_valid_until,pace,shooting,passing,dribbling,defending,Forward,Mid,Back,GK
0,L. Messi,33,Argentina,FC Barcelona,93,93,67500000,560000,"RW, ST, CF",138400000.0,CAM,2021.0,85.0,92.0,91.0,95.0,38.0,92.54545454545455,91.2,63.7,10.8
1,Cristiano Ronaldo,35,Portugal,Juventus,92,92,46000000,220000,"ST, LW",75900000.0,LS,2022.0,89.0,93.0,81.0,89.0,35.0,90.9090909090909,86.8,62.7,11.6
2,J. Oblak,27,Slovenia,Atlético Madrid,91,93,75000000,125000,GK,159400000.0,GK,2023.0,52.75,40.5,27.0,39.75,16.333333333333332,36.36363636363637,39.8,36.5,87.4
3,R. Lewandowski,31,Poland,FC Bayern München,91,91,80000000,240000,ST,132000000.0,ST,2023.0,78.0,91.0,78.0,85.0,43.0,88.0,83.6,65.5,10.2
4,Neymar Jr,28,Brazil,Paris Saint-Germain,91,91,90000000,270000,"LW, CAM",166500000.0,LW,2022.0,91.0,85.0,86.0,94.0,36.0,89.18181818181819,88.0,62.1,11.8
5,K. De Bruyne,29,Belgium,Manchester City,91,91,87000000,370000,"CAM, CM",161000000.0,RCM,2023.0,76.0,86.0,93.0,88.0,64.0,88.27272727272727,91.0,78.5,11.2
6,K. Mbappé,21,France,Paris Saint-Germain,90,95,105500000,160000,"ST, LW, RW",203100000.0,LS,2022.0,96.0,86.0,78.0,91.0,39.0,89.81818181818181,85.2,64.4,8.4
7,M. ter Stegen,28,Germany,FC Barcelona,90,93,69500000,260000,GK,147700000.0,GK,2022.0,40.0,44.5,38.0,41.0,15.0,39.18181818181818,45.6,38.0,87.8
8,V. van Dijk,28,Netherlands,Liverpool,90,91,75500000,210000,CB,145300000.0,LCB,2023.0,76.0,60.0,71.0,71.0,91.0,71.0,76.6,87.3,11.6
9,Alisson,27,Brazil,Liverpool,90,91,62500000,160000,GK,120300000.0,GK,2024.0,43.75,45.75,30.0,39.75,15.333333333333334,39.09090909090909,42.2,34.7,87.8
10,S. Mané,28,Senegal,Liverpool,90,90,78000000,250000,LW,144300000.0,LW,2023.0,94.0,85.0,80.0,90.0,44.0,89.54545454545455,86.4,67.2,11.2
11,M. Salah,28,Egypt,Liverpool,90,90,78000000,250000,RW,144300000.0,RW,2023.0,93.0,86.0,81.0,90.0,45.0,88.54545454545455,87.0,68.4,12.4
12,T. Courtois,28,Belgium,Real Madrid,89,90,56000000,250000,GK,119000000.0,GK,2024.0,48.25,39.75,24.75,36.75,16.333333333333332,32.54545454545455,34.6,32.6,84.0
13,S. Agüero,32,Argentina,Manchester City,89,89,53000000,300000,ST,98100000.0,SUB,2021.0,78.0,90.0,77.0,88.0,33.0,88.18181818181819,82.8,58.9,11.8
14,Sergio Ramos,34,Spain,Real Madrid,89,89,24500000,300000,CB,50200000.0,LCB,2021.0,71.0,70.0,76.0,73.0,88.0,76.81818181818181,80.4,87.1,9.2
15,K. Benzema,32,France,Real Madrid,89,89,53000000,350000,"CF, ST",108700000.0,CF,2022.0,74.0,85.0,81.0,86.0,40.0,87.72727272727273,84.6,62.8,8.2
16,M. Neuer,34,Germany,FC Bayern München,89,89,29000000,125000,GK,47900000.0,GK,2023.0,52.0,46.5,36.25,45.25,17.0,43.81818181818182,49.0,39.8,88.0
